time,flux,filt,sample
-15.124999999999861,-1.2880437182099875,g,0
-15.083333333333195,-0.38273198162895383,g,0
-15.04166666666653,0.37614169940738407,g,0
-14.999999999999863,0.890598551504052,g,0
-14.958333333333197,1.1833488141037307,g,0
-14.916666666666531,1.3043815794274636,g,0
-14.874999999999865,1.3024030142252734,g,0
-14.833333333333199,1.2171551315534366,g,0
-14.791666666666533,1.0786905622284912,g,0
-14.749999999999867,0.9087885667068001,g,0
-14.7083333333332,0.7227724117772993,g,0
-14.666666666666535,0.5311520322823284,g,0
-14.624999999999869,0.34094670146089,g,0
-14.583333333333202,0.1566888960560675,g,0
-14.541666666666536,-0.018837128714341844,g,0
-14.49999999999987,-0.18405697505972185,g,0
-14.458333333333204,-0.33822471325413517,g,0
-14.416666666666538,-0.48114874035280764,g,0
-14.374999999999872,-0.6130030793173091,g,0
-14.333333333333206,-0.7341907520205027,g,0
-14.29166666666654,-0.8452523227440167,g,0
-14.249999999999874,-0.9468031553069522,g,0
-14.208333333333208,-1.0394874641431784,g,0
-14.166666666666542,-1.123953863852531,g,0
-14.124999999999876,-1.2008320303531157,g,0
-14.08333333333321,-1.2707255458199924,g,0
-14.041666666666544,-1.3342018625947105,g,0
-13.999999999999877,-1.3917917756154274,g,0
-13.958333333333211,-1.443987144787382,g,0
-13.916666666666545,-1.4912396620330455,g,0
-13.87499999999988,-1.5339658739619466,g,0
-13.833333333333213,-1.5725467081979012,g,0
-13.791666666666547,-1.6073292290680818,g,0
-13.749999999999881,-1.638631067798368,g,0
-13.708333333333215,-1.6667413389156955,g,0
-13.666666666666549,-1.6919232822727714,g,0
-13.624999999999883,-1.7144161551094683,g,0
-13.583333333333217,-1.7344386403004464,g,0
-13.54166666666655,-1.7521891297808345,g,0
-13.499999999999885,-1.7678485791834042,g,0
-13.458333333333218,-1.781581790388504,g,0
-13.416666666666552,-1.7935383659645439,g,0
-13.374999999999886,-1.80385653029375,g,0
-13.33333333333322,-1.8126604215373732,g,0
-13.291666666666554,-1.8200639507713952,g,0
-13.249999999999888,-1.8261718081456024,g,0
-13.208333333333222,-1.8310794626780336,g,0
-13.166666666666556,-1.8348739241537437,g,0
-13.12499999999989,-1.8376352815314085,g,0
-13.083333333333224,-1.8394363414069765,g,0
-13.041666666666558,-1.8403442939432786,g,0
-12.999999999999892,-1.8404212749910798,g,0
-12.958333333333226,-1.839723417197181,g,0
-12.91666666666656,-1.838303145699804,g,0
-12.874999999999893,-1.836207237479563,g,0
-12.833333333333227,-1.8334809783721546,g,0
-12.791666666666561,-1.830164854791736,g,0
-12.749999999999895,-1.826295581884576,g,0
-12.70833333333323,-1.8219086678968672,g,0
-12.666666666666563,-1.8170348236889389,g,0
-12.624999999999897,-1.811704494661452,g,0
-12.583333333333231,-1.8059446226813236,g,0
-12.541666666666565,-1.7997804480917985,g,0
-12.499999999999899,-1.7932358457831583,g,0
-12.458333333333233,-1.7863317898977549,g,0
-12.416666666666567,-1.7790888380722514,g,0
-12.3749999999999,-1.771525796029458,g,0
-12.333333333333234,-1.763659876559835,g,0
-12.291666666666568,-1.755507361822108,g,0
-12.249999999999902,-1.747083508358653,g,0
-12.208333333333234,-1.7384023210156592,g,0
-12.16666666666657,-1.729476987455616,g,0
-12.124999999999904,-1.720319224220983,g,0
-12.083333333333238,-1.7109415419036473,g,0
-12.041666666666572,-1.7013541177528424,g,0
-11.999999999999906,-1.69156676128517,g,0
-11.95833333333324,-1.681589812020185,g,0
-11.916666666666574,-1.6714313379663182,g,0
-11.874999999999908,-1.6611006511079935,g,0
-11.833333333333242,-1.6506047265537234,g,0
-11.791666666666575,-1.6399512680149009,g,0
-11.74999999999991,-1.6291477335684235,g,0
-11.708333333333243,-1.6182005952490037,g,0
-11.666666666666577,-1.607116115819771,g,0
-11.624999999999911,-1.5958999977176447,g,0
-11.583333333333245,-1.584558493003474,g,0
-11.541666666666579,-1.5730969826424612,g,0
-11.499999999999913,-1.5615197661127134,g,0
-11.458333333333247,-1.5498328479512402,g,0
-11.41666666666658,-1.5380406170516991,g,0
-11.374999999999915,-1.5261469434341457,g,0
-11.333333333333249,-1.514157435195429,g,0
-11.29166666666658,-1.502074977590624,g,0
-11.249999999999917,-1.4899040368779488,g,0
-11.20833333333325,-1.477648432249154,g,0
-11.166666666666584,-1.4653117737638333,g,0
-11.124999999999918,-1.452897699259605,g,0
-11.083333333333252,-1.4404097230680897,g,0
-11.041666666666586,-1.4278510076445023,g,0
-10.99999999999992,-1.4152249295364605,g,0
-10.958333333333254,-1.4025343095729887,g,0
-10.916666666666588,-1.3897824562637418,g,0
-10.874999999999922,-1.3769726194345289,g,0
-10.833333333333256,-1.364107004483916,g,0
-10.79166666666659,-1.3511888775709409,g,0
-10.749999999999924,-1.3382206394854563,g,0
-10.708333333333258,-1.3252050664655357,g,0
-10.666666666666591,-1.3121443853721644,g,0
-10.624999999999925,-1.299042379992521,g,0
-10.58333333333326,-1.2859001783934687,g,0
-10.541666666666593,-1.2727207551252668,g,0
-10.499999999999927,-1.259506302434783,g,0
-10.458333333333261,-1.2462597556147337,g,0
-10.416666666666595,-1.2329821390448643,g,0
-10.374999999999929,-1.2196771975149723,g,0
-10.333333333333263,-1.2063460874564136,g,0
-10.291666666666597,-1.1929909028163905,g,0
-10.24999999999993,-1.1796150773659626,g,0
-10.208333333333265,-1.166219447309249,g,0
-10.166666666666599,-1.1528059026511883,g,0
-10.124999999999932,-1.1393775572803655,g,0
-10.083333333333266,-1.1259356869076171,g,0
-10.0416666666666,-1.1124821299651195,g,0
-9.999999999999934,-1.0990193661593857,g,0
-9.958333333333268,-1.0855487406114612,g,0
-9.916666666666602,-1.0720729043976363,g,0
-9.874999999999936,-1.0585925144474473,g,0
-9.83333333333327,-1.0451100280088461,g,0
-9.791666666666604,-1.0316274705860025,g,0
-9.749999999999938,-1.0181462825495764,g,0
