,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,54347.44561,0.9829450181860011,U,U,3182.8846594925712,3182.8846594925712,1.2295213712333883e-14,-0.19784711951404965,2.5819948795901156e-16,0.021,14.587016050398557,-1.395087806331901,0.021,False
1,54351.46482,5.002155018184567,U,U,3083.2231087542855,3083.2231087542855,6.340683592669592e-15,-0.48544711951404906,1.2681367185339183e-16,0.02,15.306016050398556,-2.1140878063319004,0.02,False
2,54352.39938,5.936715018186078,U,U,3388.5455509211424,3388.5455509211424,5.542887727427332e-15,-0.5438471195140497,1.16400642275974e-16,0.021,15.452016050398557,-2.260087806331901,0.021,False
3,54353.47478,7.012115018180339,U,U,3182.8846594925712,3182.8846594925712,5.0878708880226675e-15,-0.5810471195140501,1.0684528864847603e-16,0.021,15.545016050398557,-2.353087806331901,0.021,False
4,54354.43451,7.971845018182648,U,U,3182.8846594925712,3182.8846594925712,4.908356312308653e-15,-0.5966471195140493,1.1289219518309902e-16,0.023,15.584016050398557,-2.392087806331901,0.023,False
5,54355.4083,8.945635018186294,U,U,3388.5455509211424,3388.5455509211424,4.243616036608414e-15,-0.6598471195140494,8.91159367687767e-17,0.021,15.742016050398556,-2.5500878063319004,0.021,False
6,54356.42634,9.963675018181675,U,U,3388.5455509211424,3388.5455509211424,4.1089994387230515e-15,-0.6738471195140505,9.039798765190713e-17,0.022,15.777016050398556,-2.5850878063319005,0.022,False
7,54357.42713,10.964465018179908,U,U,3388.5455509211424,3388.5455509211424,3.880932434750483e-15,-0.6986471195140496,8.926144599926112e-17,0.023,15.839016050398557,-2.6470878063319017,0.023,False
8,54358.47274,12.010075018180942,U,U,3083.2231087542855,3083.2231087542855,3.2669018131729342e-15,-0.7734471195140493,8.167254532932336e-17,0.025,16.026016050398557,-2.834087806331901,0.025,False
9,54363.38578,16.923115018180397,U,U,3388.5455509211424,3388.5455509211424,2.8088987312506614e-15,-0.839047119514051,7.864916447501852e-17,0.028,16.190016050398558,-2.9980878063319025,0.028,False
10,54369.45826,22.99559501818294,U,U,3388.5455509211424,3388.5455509211424,2.392963541829261e-15,-0.9086471195140504,7.896779688036562e-17,0.033,16.364016050398558,-3.172087806331902,0.033,False
11,54370.41223,23.94956501818524,U,U,3816.886569837714,3816.886569837714,2.5219477347316756e-15,-0.8858471195140503,7.061453657248692e-17,0.028,16.307016050398556,-3.1150878063319,0.028,False
12,54377.34491,30.882245018183312,U,U,3388.5455509211424,3388.5455509211424,2.6481103695796932e-15,-0.8646471195140499,6.885086960907202e-17,0.026,16.25401605039856,-3.0620878063319026,0.026,False
13,54379.42344,32.960775018182176,U,U,3083.2231087542855,3083.2231087542855,2.5359231127845384e-15,-0.8834471195140488,6.339807781961346e-17,0.025,16.301016050398555,-3.1090878063318996,0.025,False
14,54381.46822,35.00555501818599,U,U,3083.2231087542855,3083.2231087542855,2.5926033743272998e-15,-0.8738471195140498,7.51854978554917e-17,0.029,16.277016050398558,-3.0850878063319023,0.029,False
15,54383.3748,36.91213501818129,U,U,3388.5455509211424,3388.5455509211424,2.4352081128599516e-15,-0.9010471195140504,6.575061904721869e-17,0.027,16.345016050398556,-3.1530878063319,0.027,False
16,54384.43588,37.97321501818078,U,U,3388.5455509211424,3388.5455509211424,2.41288199068367e-15,-0.9050471195140499,6.273493175777542e-17,0.026,16.355016050398557,-3.1630878063319017,0.026,False
17,54347.449,0.986335018184036,H,H,17830.86045359543,17830.86045359543,1.3653065088792875e-15,-1.1523530407924927,3.959388875749934e-17,0.029,13.693855335411312,-0.5019270913446565,0.029,False
18,54348.446,1.9833350181870628,H,H,16328.1664,16328.1664,1.4022652141186575e-15,-1.140753040792493,2.45396412470765e-16,0.175,13.664855335411312,-0.4729270913446566,0.175,False
19,54352.438,5.975335018185433,H,H,15382.094080585142,15382.094080585142,1.2847841217608263e-15,-1.1787530407924933,3.211960304402066e-17,0.025,13.759855335411311,-0.5679270913446555,0.025,False
20,54353.436,6.9733350181850255,H,H,17505.349880393143,17505.349880393143,1.3678238142231514e-15,-1.1515530407924928,2.5988652470239874e-17,0.019,13.691855335411312,-0.49992709134465585,0.019,False
21,54354.446,7.983335018187063,H,H,17505.349880393143,17505.349880393143,1.1957218369807127e-15,-1.2099530407924934,1.793582755471069e-17,0.015,13.837855335411312,-0.6459270913446566,0.015,False
22,54355.433,8.970335018180776,H,H,15382.094080585142,15382.094080585142,1.1674281486274764e-15,-1.2203530407924923,2.0429992600980835e-16,0.175,13.863855335411312,-0.6719270913446564,0.175,False
23,54356.429,9.966335018179961,H,H,15382.094080585142,15382.094080585142,1.1056817991941225e-15,-1.2439530407924924,1.769090878710596e-17,0.016,13.922855335411311,-0.7309270913446557,0.016,False
24,54357.428,10.965335018183396,H,H,15382.094080585142,15382.094080585142,1.1324790083251718e-15,-1.2335530407924935,3.057693322477964e-17,0.027,13.896855335411312,-0.7049270913446559,0.027,False
25,54363.432,16.96933501818421,H,H,15382.094080585142,15382.094080585142,9.08720155097427e-16,-1.3291530407924927,1.0904641861169124e-17,0.012,14.135855335411312,-0.9439270913446567,0.012,False
26,54368.412,21.949335018180136,H,H,15148.376137142857,15148.376137142857,7.642406967159327e-16,-1.4043530407924933,1.987025811461425e-17,0.026,14.323855335411311,-1.1319270913446555,0.026,False
27,54369.38,22.917335018180893,H,H,15382.094080585142,15382.094080585142,7.379554775025475e-16,-1.4195530407924934,3.173208553260954e-17,0.043,14.361855335411311,-1.1699270913446558,0.043,False
28,54370.398,23.93533501818456,H,H,15382.094080585142,15382.094080585142,6.42732351913373e-16,-1.4795530407924922,2.570929407653492e-17,0.04,14.511855335411312,-1.3199270913446561,0.04,False
29,54377.331,30.868335018181824,H,H,15382.094080585142,15382.094080585142,5.829484617668551e-16,-1.5219530407924928,9.32717538826968e-18,0.016,14.617855335411312,-1.425927091344656,0.016,False
30,54380.319,33.856335018186655,H,H,15148.376137142857,15148.376137142857,5.331263652370949e-16,-1.560753040792493,1.5993790957112848e-17,0.03,14.714855335411311,-1.5229270913446555,0.03,False
31,54383.344,36.881335018180835,H,H,15382.094080585142,15382.094080585142,4.961696101213337e-16,-1.5919530407924931,8.434883372062673e-18,0.017,14.792855335411312,-1.6009270913446567,0.017,False
32,54384.335,37.87233501818264,H,H,15382.094080585142,15382.094080585142,4.4302696514116427e-16,-1.6411530407924921,1.1075674128529107e-16,0.25,14.915855335411312,-1.723927091344656,0.25,False
33,54385.347,38.884335018185084,H,H,15148.376137142857,15148.376137142857,4.537641286218643e-16,-1.6307530407924933,1.27053956014122e-17,0.028,14.889855335411312,-1.6979270913446562,0.028,False
34,54386.354,39.89133501818287,H,H,15148.376137142857,15148.376137142857,4.699267427030848e-16,-1.6155530407924932,8.928608111358611e-18,0.019,14.851855335411312,-1.659927091344656,0.019,False
35,54387.313,40.85033501818543,H,H,15148.376137142857,15148.376137142857,4.450718846999295e-16,-1.6391530407924932,1.1126797117498239e-16,0.25,14.910855335411311,-1.7189270913446553,0.25,False
36,54388.293,41.83033501818136,H,H,15148.376137142857,15148.376137142857,4.491900841449936e-16,-1.635153040792492,6.28866117802991e-18,0.014,14.900855335411311,-1.7089270913446555,0.014,False
37,54389.315,42.85233501818584,H,H,16328.1664,16328.1664,4.297641261556333e-16,-1.6543530407924933,5.5869336400232326e-18,0.013,14.948855335411311,-1.7569270913446555,0.013,False
38,54390.323,43.860335018180194,H,H,15148.376137142857,15148.376137142857,4.2660914470562245e-16,-1.657553040792493,1.3224883485874295e-17,0.031,14.956855335411312,-1.7649270913446564,0.031,False
39,54391.275,44.81233501818497,H,H,16328.1664,16328.1664,4.2347732458375446e-16,-1.6607530407924926,1.0163455790010108e-17,0.024,14.964855335411311,-1.7729270913446555,0.024,False
40,54392.289,45.826335018180544,H,H,15148.376137142857,15148.376137142857,4.0740857032281575e-16,-1.6775530407924926,4.0740857032281575e-18,0.01,15.006855335411311,-1.8149270913446554,0.01,False
41,54393.278,46.81533501818194,H,H,17727.519085714288,17727.519085714288,3.999725258831363e-16,-1.6855530407924935,6.999519202954885e-17,0.175,15.026855335411312,-1.8349270913446567,0.175,False
42,54395.323,48.860335018180194,H,H,16328.1664,16328.1664,3.584513007211597e-16,-1.7331530407924927,3.942964307932756e-18,0.011,15.145855335411312,-1.9539270913446565,0.011,False
43,54396.31,49.847335018181184,H,H,15148.376137142857,15148.376137142857,3.6646302369998187e-16,-1.723553040792492,6.413102914749682e-17,0.175,15.121855335411311,-1.9299270913446556,0.175,False
44,54400.302,53.83933501818683,H,H,15148.376137142857,15148.376137142857,2.98696518505465e-16,-1.8123530407924928,5.227189073845637e-17,0.175,15.34385533541131,-2.151927091344655,0.175,False
45,54401.264,54.801335018186364,H,H,16328.1664,16328.1664,3.053726660217095e-16,-1.802753040792492,5.802080654412481e-18,0.019,15.319855335411312,-2.127927091344656,0.019,False
46,54402.262,55.79933501818596,H,H,16328.1664,16328.1664,3.104775199474797e-16,-1.795553040792493,7.761937998686992e-17,0.25,15.301855335411311,-2.1099270913446553,0.25,False
47,54403.276,56.81333501818153,H,H,16328.1664,16328.1664,2.9109192670732876e-16,-1.8235530407924934,5.094108717378253e-17,0.175,15.371855335411311,-2.1799270913446556,0.175,False
48,54404.283,57.8203350181866,H,H,16328.1664,16328.1664,2.7671338092263007e-16,-1.8455530407924918,1.0515108475059942e-17,0.038,15.426855335411311,-2.2349270913446553,0.038,False
49,54405.263,58.80033501818252,H,H,15148.376137142857,15148.376137142857,3.0905100532158756e-16,-1.7975530407924936,1.1743938202220326e-17,0.038,15.306855335411312,-2.114927091344656,0.038,False
50,54406.42,59.957335018181766,H,H,16328.1664,16328.1664,2.821175870433203e-16,-1.8371530407924936,4.937057773258105e-17,0.175,15.405855335411312,-2.2139270913446563,0.175,False
51,54407.291,60.82833501818095,H,H,16328.1664,16328.1664,2.5611213744225764e-16,-1.8791530407924935,4.4819624052395086e-17,0.175,15.510855335411312,-2.3189270913446567,0.175,False
52,54408.266,61.80333501818677,H,H,15148.376137142857,15148.376137142857,2.4122935780009067e-16,-1.9051530407924933,5.548275229402085e-18,0.023,15.575855335411312,-2.383927091344656,0.023,False
53,54409.247,62.78433501818654,H,H,16328.1664,16328.1664,2.6377289181717725e-16,-1.866353040792493,1.74090108599337e-17,0.066,15.478855335411312,-2.2869270913446567,0.066,False
54,54410.235,63.772335018184094,H,H,15148.376137142857,15148.376137142857,2.6087361757481653e-16,-1.8711530407924926,5.217472351496331e-18,0.02,15.490855335411311,-2.2989270913446553,0.02,False
55,54411.272,64.80933501818072,H,H,16328.1664,16328.1664,2.3400770678824763e-16,-1.9183530407924927,5.850192669706191e-17,0.25,15.608855335411311,-2.4169270913446557,0.25,False
56,54412.223,65.76033501818165,H,H,16328.1664,16328.1664,2.333620120705195e-16,-1.9195530407924934,3.500430181057793e-18,0.015,15.611855335411311,-2.419927091344656,0.015,False
57,54413.25,66.78733501818351,H,H,16328.1664,16328.1664,2.346551880935386e-16,-1.917153040792492,1.830310467129601e-17,0.078,15.605855335411311,-2.4139270913446556,0.078,False
58,54415.222,68.75933501818508,H,H,16328.1664,16328.1664,2.1919475638069916e-16,-1.9467530407924922,3.507116102091187e-18,0.016,15.679855335411311,-2.4879270913446554,0.016,False
59,54416.243,69.78033501818572,H,H,16328.1664,16328.1664,2.0683791946799714e-16,-1.9719530407924921,4.3435963088279404e-18,0.021,15.742855335411312,-2.550927091344656,0.021,False
60,54418.433,71.97033501818078,H,H,15148.376137142857,15148.376137142857,1.9716515324850403e-16,-1.9927530407924934,3.3518076052245687e-18,0.017,15.794855335411311,-2.6029270913446556,0.017,False
61,54419.272,72.80933501818072,H,H,16328.1664,16328.1664,1.9880630822316392e-16,-1.9891530407924929,4.9701577055790985e-18,0.025,15.785855335411311,-2.5939270913446553,0.025,False
62,54421.212,74.74933501818305,H,H,15148.376137142857,15148.376137142857,1.7882579343965061e-16,-2.0351530407924923,5.72242539006882e-18,0.032,15.900855335411311,-2.7089270913446555,0.032,False
63,54422.237,75.7743350181845,H,H,15148.376137142857,15148.376137142857,1.9898949994980468e-16,-1.988753040792492,3.7808004990462884e-18,0.019,15.784855335411311,-2.592927091344656,0.019,False
64,54423.227,76.76433501818246,H,H,16328.1664,16328.1664,1.8916037253955058e-16,-2.0107530407924923,3.4048867057119103e-18,0.018,15.839855335411311,-2.6479270913446555,0.018,False
65,54425.219,78.75633501818083,H,H,16328.1664,16328.1664,1.5690260737411485e-16,-2.091953040792493,4.236370399101101e-18,0.027,16.04285533541131,-2.850927091344655,0.027,False
66,54433.191,86.7283350181824,H,H,15269.5402496,15269.5402496,1.5094897232819266e-16,-2.108753040792493,2.6416070157433712e-17,0.175,16.084855335411312,-2.8929270913446565,0.175,False
67,54438.169,91.7063350181852,H,H,15148.376137142857,15148.376137142857,1.4126356452110163e-16,-2.1375530407924934,5.650542580844065e-18,0.04,16.15685533541131,-2.9649270913446557,0.04,False
68,54439.164,92.70133501818054,H,H,15148.376137142857,15148.376137142857,1.2440280151770665e-16,-2.1927530407924927,4.10529245008432e-18,0.033,16.29485533541131,-3.102927091344654,0.033,False
69,54440.176,93.71333501818299,H,H,16328.1664,16328.1664,1.268323854400721e-16,-2.1843530407924927,2.0293181670411535e-18,0.016,16.273855335411312,-3.0819270913446566,0.016,False
70,54447.159,100.69633501818316,H,H,15148.376137142857,15148.376137142857,1.1935212633843887e-16,-2.2107530407924934,2.2676904004303385e-18,0.019,16.33985533541131,-3.1479270913446555,0.019,False
71,54448.175,101.71233501818642,H,H,15148.376137142857,15148.376137142857,1.0028365650570133e-16,-2.286353040792493,1.754963988849773e-17,0.175,16.52885533541131,-3.3369270913446556,0.175,False
72,54449.135,102.67233501818555,H,H,15148.376137142857,15148.376137142857,1.047201271021658e-16,-2.2675530407924924,1.0262572456012248e-17,0.098,16.48185533541131,-3.289927091344655,0.098,False
73,54450.138,103.67533501818252,H,H,15148.376137142857,15148.376137142857,1.0290350337118007e-16,-2.2751530407924925,2.881298094393042e-18,0.028,16.50085533541131,-3.3089270913446533,0.028,False
